,T_Dataset,T_Stride,T_Epochs,T_Dataset2,T_Stride2,T_Epochs2,A_Depth,A_Repetitions,A_InitChannels,T_DataAug,A_MSUpsampling,A_ASPP,A_HyperDense,A_Module,T_Loss,T_Optimizer,A_DropoutRate,A_LvlGrowth,A_Strategy,T_LearningRate,A_KernelInitializer,T_BatchSize,A_KernelSize,A_OutChannels,A_MaxPooling,P_ElementSize,D_MaxSize,D_fs,T_Window,T_Seed,T_LRPatience,T_Patience,T_ValidationSplit
-2,automatic,1024,100,manual0,64,20,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
-1,manual0,64,5,,,,2,3,2,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.2,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,manual0,64,250,,,,4,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
1,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
2,manual0,64,250,,,,6,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
3,manual0,64,250,,,,7,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
4,manual0,64,250,,,,5,2,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
5,manual0,64,250,,,,5,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
6,manual0,64,250,,,,5,3,16,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
7,manual0,64,250,,,,5,3,64,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
8,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
9,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
10,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,32,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
11,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,128,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
12,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,256,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
13,manual0,64,250,,,,5,3,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
14,manual0,64,250,,,,5,3,32,FALSE,TRUE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
15,manual0,64,250,,,,5,3,32,FALSE,FALSE,TRUE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
16,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,TRUE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,manual0,64,250,,,,4,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
18,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
19,manual0,64,250,,,,6,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
20,manual0,64,250,,,,7,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
21,manual0,64,250,,,,5,2,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
22,manual0,64,250,,,,5,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
23,manual0,64,250,,,,5,3,16,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
24,manual0,64,250,,,,5,3,64,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
25,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
26,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
27,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,32,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
28,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,128,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
29,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,256,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
30,manual0,64,250,,,,5,3,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
31,manual0,64,250,,,,5,3,32,FALSE,TRUE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
32,manual0,64,250,,,,5,3,32,FALSE,FALSE,TRUE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
33,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,TRUE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,automatic,1024,250,manual0,64,50,4,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
35,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
36,automatic,1024,250,manual0,64,50,6,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
37,automatic,1024,250,manual0,64,50,7,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
38,automatic,1024,250,manual0,64,50,5,2,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
39,automatic,1024,250,manual0,64,50,5,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
40,automatic,1024,250,manual0,64,50,5,3,16,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
41,automatic,1024,250,manual0,64,50,5,3,64,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
42,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
